model,accuracy,precision,recall,f1,roc_auc
LogReg (Scaled),0.7423487544483985,0.5088028169014085,0.7768817204301075,0.6148936170212767,0.8403113907712165
RandomForest,0.7786476868327402,0.6159695817490495,0.43548387096774194,0.510236220472441,0.8166721314888257
